feature,relative_importance_val1,relative_importance_val2,cluster
370,0.001492622833404956,-0.00046058458813091235,0
371,0.0006961753330468413,0.0007971656333036316,0
372,0.00033519553072625693,0.0007263064658988485,0
373,0.0011918063314711358,0.0019840566873337464,1
374,0.0011946712505371722,0.0008148804251550044,0
375,0.0024323162870648904,0.002196634189548096,1
376,0.0018335482022632861,0.002940655447298494,1
377,0.0009568829680561523,0.0010451727192205492,0
378,0.000991261996848589,0.0006377325066428698,0
379,0.0025841569975648187,0.002763507528786537,1
380,0.0009654777252542616,0.0021434898139945082,1
381,0.002354963472281908,0.0027103631532329493,1
382,0.0013694313135653917,0.0021434898139945082,1
383,0.0004727116458960034,0.0001948627103629761,0
384,0.0013608365563672826,0.0015943312666076173,0
385,0.00029795158286778395,0.0010628875110717448,0
386,0.0006875805758487322,0.0005845881310892825,0
387,0.0003724394785847299,0.0006023029229404783,0
388,0.003162870648904168,0.0030823737821080604,1
389,0.0009368285345938976,0.0013994685562444642,0
390,0.0010027216731127344,0.001204605845881311,0
391,0.0002664374731413837,0.0002657218777677591,0
392,0.0005873084085374588,0.0007085916740476528,0
393,0.0027847013321873654,0.0021434898139945082,1
394,0.0013436470419710643,0.002037201062887334,1
395,0.0006589313851883684,0.0011160318866253321,0
396,0.0010858043260277897,0.0008503100088573959,0
397,0.0013894857470276465,0.0022674933569528785,1
398,0.001237645036527718,0.001806908768821789,0
399,0.000976937401518407,0.0013108945969884853,0
400,0.0010657498925655349,0.0013817537643932684,0
401,0.0008738003151410971,0.0002657218777677591,0
402,0.0024409110442629996,0.001133746678476528,1
403,0.0023807477438762352,0.0017891939769705935,1
404,0.0009941269159146253,0.0015411868910540302,0
405,0.0014897579143389197,0.0021257750221433127,1
406,0.00114883254548059,0.0008680248007085917,0
407,0.0008021773384901875,0.001328609388839681,0
408,0.0007878527431600057,0.0001240035429583566,0
409,0.0005987680848016044,0.00021257750221417184,0
410,0.0011832115742730267,0.0017360496014171833,0
411,0.0009826672396504798,0.001895482728077768,0
412,0.0020025784271594325,0.0017360496014171833,1
413,0.0021887981664517977,0.002462356067316032,1
414,0.0017017619252256123,0.0021612046058457042,1
415,0.0013923506660936827,0.0006554472984940655,0
416,0.001535596619395502,0.0009565987599645705,0
417,0.001102993840424008,0.0010274579273693535,0
418,0.0001804899011602922,0.00046058458813091235,0
419,0.0003122761781979659,8.857395925596899e-05,0
420,0.000678985818650623,0.00040744021257732506,0
421,0.0015699756481879386,0.0014526129317980513,0
422,0.0010027216731127344,0.0015411868910540302,0
423,0.0020254977796877235,0.0024269264836136403,1
424,0.00016616530583011028,0.00021257750221417184,0
425,0.0016301389485747025,0.0013463241806908768,0
426,0.0013035381750465549,0.0012400354295837024,0
427,0.0016731127345652483,0.0009565987599645705,0
428,0.0015069474287351381,0.00230292294065527,1
429,0.0018364131213293223,0.003011514614703277,1
430,0.00012319151983968771,0.0,0
431,0.0006503366279902592,0.0010806023029229406,0
432,0.0008021773384901875,0.0005845881310892825,0
433,0.0020197679415556507,0.002586359610274579,1
434,0.00042114310270734845,0.0007263064658988485,0
435,0.0019137659361123046,0.003029229406554473,1
436,0.0015527861337917201,0.0025509300265720105,1
437,0.0007849878240939693,0.00033658104517254205,0
438,0.0008451511244807334,0.001771479185119575,0
439,0.0007448789571694598,0.00023029229406536757,0
440,0.0007563386334336055,0.00031886625332134633,0
441,0.0008451511244807334,0.0003897254207261293,0
442,0.0014124050995559373,0.0007440212577500443,0
443,0.000991261996848589,0.0012577502214348982,0
444,0.0011431027073485172,0.0014526129317980513,0
445,0.002420856610800745,0.002320637732506643,1
446,0.0012834837415843,0.0021434898139945082,1
447,0.0007362841999713508,0.0008148804251550044,0
448,0.0004641168886978943,0.0005668733392380868,0
449,0.0008823950723392064,0.0010451727192205492,0
450,0.0006274172754619681,0.0005314437555356954,0
451,0.0035524996418851164,0.0032949512843224093,1
452,0.0005357398653488038,0.00046058458813091235,0
453,0.0007592035524996418,0.002533215234720815,1
454,0.0010313708637730984,0.0006731620903452613,0
455,0.0011574273026786993,0.0007971656333036316,0
456,0.0020398223750179053,0.002320637732506643,1
457,0.0030310843718664945,0.0022674933569528785,1
458,0.0015098123478011745,0.0010983170947741364,0
459,0.0008451511244807334,0.0009743135518157662,0
460,0.0010943990832258989,0.0002657218777677591,0
461,0.0006732559805185502,-8.857395925596899e-05,0
462,0.0009941269159146253,0.000177147918511938,0
463,0.0001289213579717185,0.00021257750221417184,0
464,0.0008881249104712791,0.001895482728077768,0
465,0.0007506087953015328,0.001328609388839681,0
466,0.0016215441913765935,0.0020726306465897256,1
467,0.0017762498209425582,0.0017360496014171833,1
468,0.0005386047844148402,0.0008680248007085917,0
469,0.003142816215441914,0.004782993799822852,1
470,0.0012433748746597908,0.0012931798051372895,0
471,0.0019853889127632142,0.0020549158547385296,1
472,0.0006990402521128777,0.0007263064658988485,0
473,0.0013264575275748459,0.0018246235606729849,1
474,0.0013035381750465549,0.002196634189548096,1
475,0.0016874373298954304,0.0009211691762621788,0
476,0.0005787136513393497,0.0001948627103629761,0
477,0.0014209998567540467,0.00141718334809566,0
478,0.00165592322016903,0.0009388839681131975,0
479,0.0003753043976507664,0.001328609388839681,0
480,0.0033949290932531154,0.0043755535872451725,1
481,0.0005500644606789858,0.0009034543844109832,0
482,0.0021601489757914335,0.002657218777679362,1
483,0.0011087236785560807,0.001328609388839681,0
484,0.001363701475433319,0.002196634189548096,1
485,0.00046984672682996704,0.0012577502214348982,0
486,0.00016616530583011028,0.00046058458813091235,0
487,0.00162440911044263,0.0019840566873337464,1
488,0.0017103566824237214,0.0013640389725420726,0
489,0.0012720240653201545,0.0019309123117801595,1
490,0.0002492479587451654,0.00023029229406536757,0
491,0.0018822518263859045,0.0022320637732504874,1
492,0.0007190946855751323,0.0015943312666076173,0
493,0.0024323162870648904,0.002763507528786537,1
494,0.0004641168886978943,0.0009565987599645705,0
495,0.0003982237501790574,0.0005668733392380868,0
496,0.0015757054863200113,0.002037201062887334,1
497,0.00038103423578283915,0.0012400354295837024,0
498,0.001549921214725684,0.0017537643932683791,1
499,0.0021085804326027788,0.0010806023029229406,0
500,0.0012576994699899726,0.001133746678476528,0
501,0.00179057441627274,0.002869796279893711,1
502,0.0010915341641598625,-8.857395925596899e-05,0
503,0.0014181349376880103,0.001771479185119575,1
504,0.002148689299527288,0.0029052258635961026,1
505,0.001229050279329609,0.0021257750221433127,1
506,0.0007219596046411688,0.0004960141718333038,0
507,0.0008193668528864059,0.0002480070859165633,0
508,0.0006216874373298954,0.0012223206377325066,0
509,0.0018450078785274316,0.0024623560673162088,1
510,0.0014181349376880103,0.001771479185119575,1
511,0.0009712075633863343,0.002019486271036138,0
512,0.001214725683999427,0.001895482728077768,1
513,0.0011688869789428448,0.0007440212577500443,0
514,0.0013894857470276465,0.00295837023914969,1
515,0.0005557942988110586,0.000690876882196457,0
516,0.0025641025641025637,0.0026395039858281666,1
517,0.0019653344793009596,0.001966341895482551,1
518,0.0009167741011316431,0.0013994685562444642,0
519,0.002228907033376307,0.001806908768821789,1
520,0.0005930382466695315,0.0007263064658988485,0
521,0.0012576994699899726,0.00141718334809566,0
522,0.00039249391204698465,0.0007971656333038087,0
523,0.0007190946855751323,0.00021257750221417184,0
524,0.0002578427159432746,0.0011514614703277235,0
525,0.0007019051711789141,0.0006377325066428698,0
526,0.0007133648474430596,0.0017183348095659878,0
527,0.0005758487322733133,0.0016651904340124002,0
528,0.0019481449649047414,0.0019309123117801595,1
529,2.2919352528345805e-05,5.3144375553581395e-05,0
530,0.0008365563672826241,0.0013463241806908768,0
531,0.0009024495058014611,0.0010806023029229406,0
532,0.0018736570691877952,0.0010806023029229406,0
533,0.0013407821229050277,0.001806908768821789,1
534,0.001051425297235353,0.0013640389725420726,0
535,0.0008021773384901875,0.0010274579273693535,0
536,0.00022919352528291077,0.00014171833480955038,0
537,0.0010542902163013894,0.001806908768821789,0
538,0.0010542902163013894,0.0010451727192205492,0
539,1.71895143962514e-05,3.54295837023876e-05,0
540,0.0007133648474430596,0.0011514614703277235,0
541,0.0029107577710929663,0.0025686448184233835,1
542,0.001968199398366996,0.002604074402125775,1
543,0.0005128205128205127,0.0005668733392380868,0
544,0.0006102277610657499,0.0002480070859165633,0
545,0.0017160865205557943,0.001966341895482551,1
546,0.0012204555221314998,0.002019486271036138,1
547,0.0010600200544334621,8.857395925596899e-05,0
548,0.00189371150265005,0.002763507528786537,1
549,0.0010657498925655349,0.0009743135518157662,0
550,0.0014095401804899012,0.0002657218777677591,0
551,0.000693310413980805,0.0015057573073516384,0
552,0.0005873084085374588,0.0006377325066428698,0
553,0.0014124050995559373,0.0013994685562444642,0
554,0.0010227761065749893,0.0022852081488040745,1
555,0.0020369574559518694,0.0020549158547385296,1
556,0.0011545623836126627,0.0014526129317980513,0
557,0.0007219596046411688,0.00044286979627971657,0
558,0.0010027216731127344,0.000992028343666962,0
559,0.0019653344793009596,0.001806908768821789,1
560,0.0015871651625841568,0.00141718334809566,0
561,0.0007190946855751323,0.0014880425155004429,0
562,0.0012777539034522273,0.0008148804251548273,0
563,0.001005586592178771,0.000549158547386891,0
564,0.0005328749462827674,0.0007263064658988485,0
565,0.0010972640022919352,0.001558901682905226,0
566,0.001349376880103137,0.001328609388839681,0
567,0.0016817074917633574,0.0010806023029229406,0
568,0.0015069474287351381,0.0017183348095659878,1
569,0.0004984959174903308,0.000992028343666962,0
570,0.0024179916917347086,0.0027989371124889284,1
571,0.0020541469703480872,0.0023560673162088576,1
572,0.001214725683999427,0.0012577502214348982,0
573,0.0007276894427732416,0.0011868910540301153,0
574,0.00046984672682996704,0.00044286979627971657,0
575,0.0007477438762354963,0.0008857395925597874,0
576,0.0007133648474430596,0.0014880425155004429,0
577,0.00015470562956596475,0.0003897254207261293,0
578,0.00165592322016903,0.0023383525243576616,1
579,0.0011574273026786993,0.0015057573073516384,0
580,0.0018564675547915771,0.0006731620903452613,0
581,0.0008623406388769516,0.0005668733392380868,0
582,0.0016215441913765935,0.0024977856510184234,1
